#{"t_start": 1735828127.7276947, "env_id": "CustomHopper-source-v0"}
r,l,t
4.636223,13,0.482705
54.668151,36,0.521292
2.924028,10,0.535259
-3.031432,13,0.549352
15.94438,13,0.562093
1.21793,19,0.579233
-10.148783,13,0.591266
15.305859,16,0.608434
13.646672,21,0.62609
0.577364,10,0.635481
6.588784,14,0.64638
2.229303,9,0.656754
16.233325,21,0.674078
56.902415,32,0.699023
6.049248,11,0.706912
25.021335,18,0.721237
-0.666764,7,0.727079
0.551154,10,0.736295
60.475917,33,0.76652
23.056705,21,0.784914
8.995091,15,0.798378
1.69597,9,0.805001
11.289174,17,0.820737
3.034482,15,0.839932
83.968596,45,0.881341
-3.431611,12,0.893224
0.092557,20,0.910477
14.280786,12,0.940628
15.095333,14,0.990042
8.447875,15,1.04597
2.692007,12,1.063965
2.159975,13,1.077898
5.064412,20,1.095505
-2.206497,17,1.11316
-0.362716,11,1.124992
35.821446,28,1.146944
-4.07402,9,1.156
-4.680411,15,1.167853
6.550023,9,1.175447
3.892559,13,1.18721
1.449887,16,1.206256
-2.498595,14,1.21808
2.813429,11,1.225884
44.825067,32,1.25367
1.360619,15,1.266302
39.192341,27,1.29442
66.192495,30,1.320328
30.470083,19,1.335862
2.438428,22,1.352533
18.593793,23,1.369782
3.783474,8,1.377249
5.689629,8,1.38276
3.902295,16,1.395214
-1.970549,10,1.402548
2.518502,13,1.412906
50.36983,36,1.440549
0.311408,19,1.45484
-5.254096,13,1.463685
19.772994,24,1.482533
4.281568,9,1.490171
0.714204,9,1.49682
45.458323,53,1.547246
5.504644,14,1.556516
-6.182393,13,1.566897
-3.733377,20,1.581989
2.554397,16,1.5945
3.706997,16,1.605028
54.026803,46,1.637733
1.342829,13,1.64727
4.815311,12,1.656386
-6.962733,19,1.668891
-2.253693,14,1.67959
4.704853,11,1.687914
9.797942,16,1.698429
-0.780029,9,1.705016
19.620027,18,1.718188
-5.670779,16,1.729317
0.836018,14,1.739331
7.514482,9,1.745137
